adName,adDescription,adContent,adViews,adID,companyID
ridiculus mus etiam,Nulla tellus.,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,29205,1,31
quis orci,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,97524,2,11
ipsum primis,Nullam molestie nibh in lectus.,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,29691,3,36
praesent,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Nulla justo.,92782,4,41
posuere metus,Phasellus sit amet erat. Nulla tempus.,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,15059,5,32
posuere nonummy,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,12997,6,34
dui luctus rutrum,In congue. Etiam justo.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,26212,7,3
gravida,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",82341,8,9
phasellus,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",31115,9,8
quisque porta volutpat,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",44139,10,16
sollicitudin vitae,In hac habitasse platea dictumst.,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,23276,11,7
leo rhoncus sed,Phasellus sit amet erat.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",60146,12,37
