companyName,productDescription,companyID
Twitternation,Donec vitae nisi.,1
Oozz,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2
Wordtune,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,3
Jaxworks,Morbi a ipsum. Integer a nibh.,4
Npath,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,5
Realcube,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,6
Jetwire,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",7
Eidel,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,8
Linkbridge,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",9
Oyoba,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,10
Yodel,Cras non velit nec nisi vulputate nonummy.,11
Mydo,Aliquam erat volutpat.,12
Eimbee,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",13
Chatterpoint,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,14
Zoombeat,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",15
Kazio,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",16
Yakidoo,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",17
Kazu,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,18
Realfire,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,19
Wordware,Curabitur gravida nisi at nibh.,20
Kaymbo,Donec vitae nisi.,21
Zoomlounge,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,22
Kwimbee,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,23
Mybuzz,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,24
Youspan,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",25
Realcube,Integer ac leo.,26
Photojam,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",27
Katz,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",28
Vidoo,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,29
Centimia,In sagittis dui vel nisl.,30
Eimbee,Nulla facilisi.,31
Dabshots,Suspendisse potenti. In eleifend quam a odio.,32
Vinder,Aliquam non mauris.,33
Gabcube,Aliquam quis turpis eget elit sodales scelerisque.,34
Cogibox,In hac habitasse platea dictumst.,35
Talane,Proin interdum mauris non ligula pellentesque ultrices.,36
Cogidoo,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,37
Kimia,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38
Livetube,Suspendisse potenti. In eleifend quam a odio.,39
Gigazoom,Proin eu mi. Nulla ac enim.,40
Zoomzone,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,41
Omba,Donec vitae nisi.,42
Photospace,In sagittis dui vel nisl. Duis ac nibh.,43
Zoozzy,Praesent blandit. Nam nulla.,44
Fanoodle,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",45
Browsecat,Praesent blandit lacinia erat.,46
Meevee,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",47
Quaxo,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,48
Twitternation,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,49
Yata,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,50
